title,nizam,ceded,vizag,east,west,krishna,guntur,nellore,WW,month,director,producer,composer,cast
118,3.65,1.2,1.1,0.63,0.48,0.76,0.7,0.23,9.68,March,K.V. Guhan,East Coast Productions,Sekhar Chandra,"Nandamuri Kalyan Ram, Shalini Pandey, Nivetha Thomas, Nassar, Habib Al Aidroos"
A.. Aa..,12.9,4.2,4.22,2.39,1.98,2.2,2.5,0.98,47.44,June,Trivikram Srinivas,Haarika & Hassine Creations,Mickey J. Meyer,"Nithiin, Samantha Ruth Prabhu, Anupama Parameswaran, Nadia Moidu, V.K. Naresh"
Acharya,12.54,6.65,4.91,3.43,3.3,2.93,3.89,2.17,47.82,April,Koratala Siva,"Konidela Production Company, Matinee Entertainments",Mani Sharma,"Chiranjeevi, Ram Charan, Pooja Hegde, Sonu Sood, Jisshu Sengupta"
Adipurush,39.12,10.25,10.6,5.38,4.48,4.66,6.81,2.65,191.2,June,Om Raut,"RKB Creative, Retrophiles, T-Series Films",Ankit Balhara,"Prabhas, Kriti Sanon, Saif Ali Khan, Devdutta Nage, Vatsal Sheth"
Agnyaathavasi,10.3,5.25,5.5,4.23,2.74,3.27,5.09,2.25,57.61,January,Trivikram Srinivas,Haarika & Hassine Creations,Anirudh Ravichander,"Pawan Kalyan, Keerthy Suresh, Anu Emmanuel, Aadhi, Boman Irani"
Akhanda,20,14.8,6.3,4.1,3.55,3.57,4.8,2.6,70.02,December,Boyapati Srinu,Dwaraka Creations,S. Thaman,"Nandamuri Balakrishna, Pragya Jaiswal, Jagapathi Babu, Meka Srikanth, Avinash"
Ala Vaikunthapurramuloo,41.55,19.3,20.21,11.2,9,9.5,10.7,4.45,160.93,January,Trivikram Srinivas,"Geetha Arts, Haarika & Hassine Creations",S. Thaman,"Allu Arjun, Pooja Hegde, Tabu, Jayaram, Murli Sharma"
Antariksham,2.45,0.55,0.56,0.37,0.28,0.5,0.48,0.22,7.5,December,Sankalp Reddy,First Frame Entertainment,KBS Kasyap,"Varun Tej, Aditi Rao Hydari, Lavanya Tripathi, Akhil, Arjun Anand"
Aravindha Sametha,21,13.75,8.3,5.55,4.2,4.89,7.85,2.56,89.06,October,Trivikram Srinivas,Haarika & Hassine Creations,S. Thaman,"N.T. Rama Rao Jr., Pooja Hegde, Jagapathi Babu, Naveen Chandra, Supriya Pathak, Eesha Rebba"
Arjun Reddy,8.2,2.2,1.54,1.1,0.7,1.14,1.15,0.47,25.05,August,Sandeep Reddy Vanga,Bhadrakali Pictures,Radhan,"Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana, Sanjay Swaroop"
Baahubali 1,43.37,21.68,9.68,8.9,7.11,6.78,9.48,4.24,311.02,May,S.S. Rajamouli,Arka Mediaworks,M.M. Keeravani,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj"
Baahubali 2,66.6,34.7,26.47,17.05,12.35,14,18.02,8.03,813.67,June,S.S. Rajamouli,Arka Mediaworks,M.M. Keeravani,"Prabhas, Rana Daggubati, Anushka Shetty, Sathyaraj, Ramya Krishnan"
Baby,12.05,4.15,4.4,1.9,1.4,1.58,1.45,1.05,31.43,July,Sai Rajesh Neelam,Mass Movie Makers,Vijay Bulganin,"Anand Deverakonda, Vaishnavi Chaitanya, Viraj Ashwin, Kirrak Seetha, Kusuma Degalamarri"
Bangarraju,6,5.7,4.02,3.52,2.45,1.87,2.47,1.55,29.78,January,Kalyan Krishna,"Annapurna Studios, Zee Studios",Anup Rubens,"Nagarjuna Akkineni, Ramya Krishnan, Naga Chaitanya Akkineni, Krithi Shetty, Sampath Raj"
Bhagavanth Kesari,15.6,12.25,5.7,2.87,2.21,2.75,4.27,2.1,58.65,October,Anil Ravipudi,Shine Screens,S. Thaman,"Nandamuri Balakrishna, Arjun Rampal, Kajal Aggarwal, Sreeleela, R. Sarathkumar"
Bharat Ane Nenu,20.6,10.25,9.15,7.3,4.5,5.85,8.35,2.65,98.25,April,Koratala Siva,DVV Entertainment,Devi Sri Prasad,"Mahesh Babu, Kiara Advani, Prakash Raj, R. Sarathkumar, Aamani"
Bheemla Nayak,32.3,10.5,7.48,5.5,5.2,3.86,5.38,2.58,94.46,February,Saagar K Chandra,Sithara Entertainments,S. Thaman,"Pawan Kalyan, Rana Daggubati, Nithya Menen, Samyuktha Menon, Samuthirakani"
Bheeshma,7.6,2.85,2.53,1.42,1.16,1.3,1.57,0.6,23.8,February,Venky Kudumula,Sithara Entertainments,Mahati Swara Sagar,"Nithiin, Rashmika Mandanna, Anant Nag, Jisshu Sengupta"
Bhola Shankar,6.38,2.8,2.84,1.81,2.1,1.49,2.58,1.11,24.53,August,Meher Ramesh,"AK Entertainments, Creative Commercials",Mahati Swara Sagar,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu, Sushanth"
Bimbisara,11.35,7.05,3.95,1.86,1.44,1.55,2.07,0.88,35.05,August,Mallidi Vasishta,NTR Arts,Chirantan Bhatt,"Nandamuri Kalyan Ram, Samyuktha Menon, Catherine Tresa, Srinivasa Reddy, Vennela Kishore"
Brahmotsavam,8.91,3.05,2.35,2.62,2.67,1.79,2.93,1.02,35.44,May,Srikanth Addala,"G. Mahesh Babu Entertainment, PVP Cinema",Mickey J. Meyer,"Mahesh Babu, Kajal Aggarwal, Samantha Ruth Prabhu, Pranitha Subhash, Sathyaraj"
Businessman,12.4,5.7,3.4,3.1,2.5,2.25,3.7,1.35,40.4,January,Puri Jagannadh,"RR Moviemakers, Rhodium Entertainments, ZEE Entertainment Enterprises",S. Thaman,"Mahesh Babu, Kajal Aggarwal, Prakash Raj, Ayesha Shiva, Sayaji Shinde"
Chitralahari,4.5,2.15,1.91,1.11,0.8,0.82,0.95,0.51,14.85,April,Thirumala Kishore,"Mythri Movie Makers, Goldmines Telefilms",Devi Sri Prasad,"Sai Dharam Tej, Kalyani Priyadarshan, Nivetha Pethuraj, Sunil, Vennela Kishore"
Dasara,25.85,4.77,4.6,2.21,1.45,2.12,2.45,1.02,63.58,March,Srikanth Odela,Sri Lakshmi Venkateshwara Cinemas,Santhosh Narayanan,"Nani, Keerthy Suresh, Shine Tom Chacko, Dheekshith Shetty, Samuthirakani"
Dear Comrade,6.78,1.15,1.68,1.34,0.89,0.77,1.06,0.52,21.44,July,Bharat Kamma,"Mythri Movie Makers, Big Ben Cinemas",Justin Prabhakaran,"Vijay Deverakonda, Rashmika Mandanna, Raj Arjun, Shruti Ramachandran, Suhas"
Devara - Part 1,46.4,27.1,15.8,7.85,6.31,7.8,10,5.3,207.01,September,Koratala Siva,"NTR Arts, Yuvasudha Arts",Anirudh Ravichander,"N.T. Rama Rao Jr., Janhvi Kapoor, Saif Ali Khan, Shruti Marathe, Manasi Verma"
Dhamaka,15.65,6.95,4.51,1.9,1.3,1.84,1.75,1,40.65,December,Trinadha Rao Nakkina,"People Media Factory, Abhishek Agarwal Arts, B4U Motion Pictures",Bheems Ceciroleo,"Ravi Teja, Sreeleela, Jayaram, Sachin Khedekar, Tanikella Bharani"
Dookudu,17.5,7.6,4.4,3,2.9,3.05,4.2,1.75,57,September,Sreenu Vaitla,"14 Reels Entertainment, Krishna Productions, HPR Entertainment",S. Thaman,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Prakash Raj, Kota Srinivasa Rao"
Duvvada Jagannadham,20.16,10.3,7.11,4.8,4.02,4.03,5.44,2.35,72.3,June,Harish Shankar,Sri Venkateswara Creations,Devi Sri Prasad,"Allu Arjun, Pooja Hegde, Rao Ramesh, Subbaraju, Master Sathwik"
Ekkadiki Pothavu Chinnavada,5.2,1.75,1.45,0.9,0.85,1,1.1,0.45,16.53,November,Vi Anand,Meghana Arts,Sekhar Chandra,"Nikhil Siddharth, Hebah Patel, Nandita Shwetha, Avika Gor, Tanikella Bharani"
Evaru,3.62,0.82,1.11,0.57,0.33,0.66,0.51,0.21,10.3,August,Venkat Ramji,PVP Cinema,Sricharan Pakala,"Adivi Sesh, Regina Cassandra, Naveen Chandra, Murli Sharma, Dheeraj Aathreya"
F2,22.85,8.8,10.32,7.35,4.28,5.2,5.58,2.05,82.3,January,Anil Ravipudi,Sri Venkateswara Creations,Devi Sri Prasad,"Tamannaah Bhatia, Vennela Kishore, Nassar, Varun Tej, Prakash Raj"
F3,18.15,7,6.7,3.6,2.7,2.5,3.3,1.82,55.65,May,Anil Ravipudi,"Sri Venkateswara Creations, Goldmines Telefilms",Devi Sri Prasad,"Venkatesh Daggubati, Varun Tej, Tamannaah Bhatia, Mehreen Pirzada, Rajendra Prasad"
Fidaa,18,4.31,4.6,2.4,1.81,2.25,2.55,1.07,47.77,July,Sekhar Kammula,Sri Venkateswara Creations,J.B.,"Sai Pallavi, Varun Tej, Sai Chand, Saranya Pradeep, Raja Chembolu, Satyam Rajesh"
Gabbar Singh,19.5,9.3,5.5,3.75,3.43,3.18,4.35,2.05,60.16,May,Harish Shankar,Parameswara Arts,Devi Sri Prasad,"Pawan Kalyan, Shruti Haasan, Abhimanyu Singh, Kota Srinivasa Rao, Suhasini"
Gaddalakonda Ganesh,8.5,3.75,2.65,1.5,1.47,1.47,1.7,0.96,25.34,September,Harish Shankar,"14 Reels Plus, Goldmines Telefilms",Mickey J. Meyer,"Varun Tej, Atharvaa Murali, Mirnalini Ravi, Pooja Hegde, Gopal Krishna Akella"
Gautami Putra Satakarni,9.75,7.5,5.1,3.6,3.48,2.92,4.45,1.88,50.89,January,Radha Krishna Jagarlamudi,"First Frame Entertainment, Sarke Studio",Chirantan Bhatt,"Nandamuri Balakrishna, Hema Malini, Shriya Saran, Kabir Bedi, Tanikella Bharan"
Geetha Govindam,19.3,6.75,6,4.1,3.15,3.67,3.76,1.65,68.28,August,Parasuram,GA2 Pictures,Gopi Sundar,"Vijay Deverakonda, Rashmika Mandanna, Subbaraju, Mouryaani, Rahul Ramakrishna"
Godfather,12.95,9.5,6.1,3.85,6.1,3.85,2.4,3.14,2.3,October,Mohan Raja,"Konidela Production Company, Super Good Films",S. Thaman,"Chiranjeevi, Salman Khan, Nayanthara, Satyadev Kancharana, Parth Siddhpura"
Goodachari,3.25,0.6,1.05,0.55,0.3,0.68,0.43,0.2,10.34,August,Sashi Kiran Tikka,"Abhishek Agarwal Arts, Abhishek Pictures, People Media Factory",Sricharan Pakala,"Adivi Sesh, Sobhita Dhulipala, Jagapathi Babu, Prakash Raj, Irfan Ahmed Syed"
Guntur Karam,23.7,9.3,10.5,7.8,5.08,5.31,7.04,3.09,77.47,January,Trivikram Srinivas,"Haarika & Hassine Creations, Sithara Entertainments",S. Thaman,"Mahesh Babu, Sreeleela, Meenaakshi Chaudhary, Ramya Krishnan, Jayaram"
Guru,6.6,1.61,2.55,1.56,0.87,1.45,1.35,0.55,18.52,March,"Gagan Bhullar, Sudha Kongara",Y Not Studios,Santhosh Narayanan,"Venkatesh Daggubati, Ritika Singh, Mumtaz Sorcar, Nassar, Zakir Hussain"
Hanu Man,32.95,12.7,10.6,6.65,4.5,4.12,5.18,2.13,145.98,January,Prasanth Varma,Primeshow Entertainment,Anudeep Dev,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar, Vinay Rai, Vennela Kishore"
Hello,4.5,2.15,1.35,0.77,0.7,1,1.2,0.54,17.62,December,Vikram K. Kumar,"Annapurna Studios, Manam Enterprises",Anup Rubens,"Akhil Akkineni, Kalyani Priyadarshan, Jagapathi Babu, Ramya Krishnan, Ajay"
Hello Guru Prema Kosame,7.6,2.85,2.9,1.42,0.95,1.26,1.55,0.63,20.98,October,Trinadha Rao Nakkina,Sri Venkateswara Creations,Devi Sri Prasad,"Ram Pothineni, Anupama Parameswaran, Pranitha Subhash, Prakash Raj, Aamani"
Hi Nanna,10.9,1.95,2.05,1.25,0.75,1.35,1.25,0.55,35.55,December,Shouryuv,Vyra Entertainments,Hesham Abdul Wahab,"Nani, Mrunal Thakur, Kiara Khanna, Nassar, Jayaram"
HIT: The 2nd Case,4.95,1,1.11,0.55,0.34,0.62,0.69,0.35,14.76,December,Sailesh Kolanu,"Wall Poster Cinema, B4U Motion Pictures",John Stewart Eduri,"Adivi Sesh, Meenaakshi Chaudhary, Rao Ramesh, Tanikella Bharani, Suhas"
Ism,3.35,1.9,1.38,0.7,0.62,0.75,1.06,0.35,11.34,October,Puri Jagannadh,NTR Arts,Anup Rubens,"Nandamuri Kalyan Ram, Aditi Arya, Jagapathi Babu, Tanikella Bharani, Ajay Ghosh"
iSmart Sankar,14,5.57,3.85,2.05,1.75,2.05,1.83,1.03,35.31,July,"Puri Jagannadh, A.R. Sreedhar","Puri Connects, Puri Jagannadh Touring Talkies",Mani Sharma,"Ram Pothineni, Satyadev Kancharana, Nabha Natesh, Nidhhi Agerwal, Puneet Issar"
Jai Lava Kusa,15.8,11.6,7.14,5.6,3.7,4.7,6.05,2.4,73.54,September,Bobby Kolli,NTR Arts,Devi Sri Prasad,"N.T. Rama Rao Jr., Raashi Khanna, Nivetha Thomas, Ronit Roy, Krishna Murali Posani"
Jai Simha,4.36,5.6,3.75,2.55,2.1,1.67,2.5,1.31,27.47,January,K.S. Ravikumar,CK Entertainments,Chirantan Bhatt,"Nandamuri Balakrishna, Nayanthara, Haripriya, Natasha Doshi, Prakash Raj"
Janatha Garage,18.95,11.7,7.41,4.7,4.05,4.41,5.75,2.32,80.05,September,Koratala Siva,Mythri Movie Makers,Devi Sri Prasad,"N.T. Rama Rao Jr., Mohanlal, Samantha Ruth Prabhu, Nithya Menen, Kajal Aggarwal"
Jathi Ratnalu,11.9,3.05,3.1,1.44,1.27,1.38,1.63,0.65,28.45,March,Anudeep K.V.,Swapna Cinema,Radhan,"Naveen Polishetty, Rahul Ramakrishna, Priyadarshi Pulikonda, Faria Abdullah, Keerthy Suresh"
Jaya Janaki Nayaka,5.49,4.3,3.04,1.68,1.3,1.35,1.72,0.95,21.73,August,Boyapati Srinu,Dwaraka Creations,Devi Sri Prasad,"Sai Srinivas Bellamkonda, Rakul Preet Singh, Jagapathi Babu, Pragya Jaiswal, R. Sarathkumar"
Jersey,9.75,2,2.7,1.55,1.05,1.58,0.152,0.7,28.25,April,Gowtam Tinnanuri,Sithara Entertainments,Anirudh Ravichander,"Nani, Shraddha Srinath, Sathyaraj, Ronit Kamra, Harish Kalyan"
Kalki,76.9,21.4,18.4,10.55,8.05,9.53,9.2,4.72,483.65,June,Nag Ashwin,Vyjayanthi Movies,Santhosh Narayanan,"Prabhas, Amitabh Bachchan, Kamal Haasan, Deepika Padukone, Disha Patani"
Karthikeya 2,12.2,4.95,4.72,2.32,1.64,2.28,2.44,1.13,56.53,August,Chandoo Mondeti,"Abhishek Agarwal Arts, People Media Factory",Kaala Bhairava,"Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu, Adithya Menon"
Katama Rayudu,15.3,8.3,6.25,5.35,4.24,3.7,4.95,2.08,61.69,March,Kishore Kumar Pardasani,Northstar Entertainment,Anup Rubens,"Pawan Kalyan, Shruti Haasan, Ajay, Rao Ramesh, Mohammad Ali"
Khaidi No. 150,19.8,15.3,13.1,8.17,6.05,5.75,7.4,3.45,104.86,January,V.V. Vinayak,"Konidela Production Company, Lyca Productions",Devi Sri Prasad,"Chiranjeevi, Kajal Aggarwal, Tarun Arora, Mohammad Ali, Mahesh Achanta"
Krack,7.45,4.2,2.88,2.09,2.12,1.61,1.91,1.22,25.29,January,Gopichand Malineni,Saraswathi Films Division,Sonu Sinha,"Ravi Teja, Shruti Haasan, Sudhakar Komakula, Samuthirakani, Varalaxmi Sarathkumar"
Krishnarjuna Yuddham,5.15,1.55,1.45,0.93,0.65,0.92,1,0.49,14.49,April,Merlapaka Gandhi,"Aditya Movies, Shine Screens",Hiphop Tamizha Adhi,"Nani, Anupama Parameswaran, Rukshar Dhillon, Brahmaji, Devadarshini Chetan"
LIE,3.1,1.12,1.16,0.66,0.35,0.59,0.61,0.29,9.48,August,Hanu Raghavapudi,14 Reels Entertainment,Mani Sharma,"Nithiin, Megha Akash, Ravi Kishan, Prudhviraj, Brahmaji"
Love Story,10.2,3.45,1.91,1.35,0.9,1.1,1.29,0.69,26.94,September,Sekhar Kammula,"Amigos Creations, Sree Venkateswara Cinemas",Pawan Ch,"Naga Chaitanya Akkineni, Sai Pallavi, Rajeev Kanakala, Easwari Rao, Devayani"
Mahanati,11.8,2.72,4,2.52,1.61,2.38,2.15,0.86,46.1,May,Nag Ashwin,"Swapna Cinema, Vyjayanthi Movies",Mickey J. Meyer,"Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu, Vijay Deverakonda, Rajendra Prasad, "
Mahanubhavudu,6,2.56,2.81,1.7,1.1,1.63,1.88,0.59,22.97,September,Maruthi Dasari,UV Creations,S. Thaman,"Sharwanand, Mehreen Pirzada, Nasser, Kalyani Natarajan, Vennela Kishore"
Maharshi,29,10.2,11.2,7.3,6.05,5.8,7.7,2.75,101.12,May,Vamshi Paidipally,"PVP Cinema, Sri Venkateswara Creations, Vyjayanthi Movies",Devi Sri Prasad,"Mahesh Babu, Allari Naresh, Pooja Hegde, Jagapathi Babu, Prakash Raj"
Majili,12.6,4.45,4.8,1.85,1.4,1.83,2.15,0.96,36.25,April,Shiva Nirvana,Shine Screens,Gopi Sundar,"Samantha Ruth Prabhu, Atul Kulkarni, Divyansha Kaushik, Suhas, Ankith Koyya"
